Date,DL_length,player_id,dt_date
20050630,15,,2005-06-30
20050701,15,quinr002,2005-07-01
20050701,15,foppj001,2005-07-01
20050701,60,tuckt001,2005-07-01
20050701,15,thomj002,2005-07-01
20050702,15,cabro001,2005-07-02
20050702,15,munse001,2005-07-02
20050702,15,mantm001,2005-07-02
20050702,15,cuddm001,2005-07-02
20050703,15,,2005-07-03
20050703,15,waecd001,2005-07-03
20050703,15,betar001,2005-07-03
20050703,15,hansd001,2005-07-03
20050703,15,johnn001,2005-07-03
20050703,15,gil-g001,2005-07-03
20050704,15,drewj001,2005-07-04
20050704,60,bakop001,2005-07-04
20050705,15,iztuc001,2005-07-05
20050706,15,jordb001,2005-07-06
20050706,15,willj004,2005-07-06
20050706,15,foulk001,2005-07-06
20050707,15,estes001,2005-07-07
20050707,15,pavac001,2005-07-07
20050707,60,sancr001,2005-07-07
20050708,15,mcphd001,2005-07-08
20050708,15,wunsk001,2005-07-08
20050708,15,beckj002,2005-07-08
20050709,15,hallr001,2005-07-09
20050713,60,mateh001,2005-07-13
20050713,15,spivj001,2005-07-13
20050713,15,blant001,2005-07-13
20050713,15,hawpb001,2005-07-13
20050714,60,thomj005,2005-07-14
20050714,60,fortb001,2005-07-14
20050714,15,perct001,2005-07-14
20050714,15,wangc001,2005-07-14
20050715,15,greea002,2005-07-15
20050715,15,wagnr001,2005-07-15
20050715,15,kaplg001,2005-07-15
20050716,15,,2005-07-16
20050716,15,gearg001,2005-07-16
20050716,15,nix-l001,2005-07-16
20050717,15,moliy001,2005-07-17
20050717,15,,2005-07-17
20050718,15,sandr002,2005-07-18
20050718,15,seanr001,2005-07-18
20050718,15,bellm002,2005-07-18
20050719,15,stink001,2005-07-19
20050719,15,bumpn001,2005-07-19
20050719,15,,2005-07-19
20050721,60,wolfr001,2005-07-21
20050722,15,roles001,2005-07-22
20050722,15,polap001,2005-07-22
20050722,60,perct001,2005-07-22
20050722,15,,2005-07-22
20050723,60,nealb001,2005-07-23
20050723,15,jennj001,2005-07-23
20050724,15,,2005-07-24
20050724,60,heref001,2005-07-24
20050725,15,woodk002,2005-07-25
20050725,60,mantm001,2005-07-25
20050725,60,bautd002,2005-07-25
20050726,15,,2005-07-26
20050726,15,walkl001,2005-07-26
20050726,15,hafnt001,2005-07-26
